,,,,"Summed S/N, Column Normalized, Scaled to 100 per Protein",,,,,,,,,,,"Summed S/N, Column Normalized",,,,,,,,,,,
ProteinID,GeneSymbol,Description,Peptides,Ctrl_1,Ctrl_2,Ctrl_3,Ctrl_4,Ctrl_5,ILD_1,ILD_2,ILD_3,ILD_4,ILD_5,ILD_6,Ctrl_1,Ctrl_2,Ctrl_3,Ctrl_4,Ctrl_5,ILD_1,ILD_2,ILD_3,ILD_4,ILD_5,ILD_6,
Q9UPN3,MACF1,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5",121,12.7644,11.2212,5.1786,10.9968,10.2072,4.72405,16.7925,5.2125,6.30993,5.99222,10.6006,28876.3,25385.3,11715.3,24877.6,23091.3,10687,37989.1,11792,14274.7,13556,23981.3,
P21333-2,FLNA,Isoform 2 of Filamin-A,113,12.5541,8.32231,7.19519,8.19848,7.89146,12.3442,11.4088,9.15294,6.61768,6.82104,9.49376,36486,24187.1,20911.3,23827.2,22934.9,35875.8,33157.4,26601.1,19232.9,19823.9,27591.7,
P12814-3,ACTN1,Isoform 3 of Alpha-actinin-1,96,11.215,5.64323,7.94604,7.69643,6.25181,9.32238,12.5105,10.1725,8.61045,8.78932,11.8424,22678.1,11411.3,16067.9,15563.2,12642,18851.1,25297.9,20570.1,17411.4,17773.1,23946.8,
P35580-4,MYH10,Isoform 4 of Myosin-10,93,11.5283,9.3802,7.02343,9.57634,8.6184,9.44651,12.5432,8.07641,6.99463,6.40574,10.4069,32708.8,26614,19927.3,27170.5,24452.6,26802.1,35588.1,22914.8,19845.5,18174.7,29526.9,
P02751-1,FN1,Isoform 1 of Fibronectin,86,14.4588,5.46215,7.43748,6.72285,5.12424,9.7608,14.9579,5.30058,8.66914,8.23192,13.8741,22578.3,8529.48,11614.1,10498.1,8001.82,15242.1,23357.7,8277.18,13537.4,12854.7,21665.3,
Q03001,DST,Dystonin,84,10.8,13.0933,5.95573,10.2815,11.5327,6.87969,12.2442,5.27972,6.51666,6.2202,11.1964,14385.2,17439.9,7932.84,13694.6,15361.1,9163.52,16308.9,7032.42,8679.99,8285.1,14913.3,
P12111,COL6A3,Collagen alpha-3(VI) chain,84,10.3725,4.48983,15.9674,8.13114,7.44672,9.64645,8.88075,11.5231,7.74491,6.45642,9.34077,20311.9,8792.24,31268.4,15922.9,14582.6,18890.2,17390.8,22565.2,15166.5,12643.3,18291.6,
P08670,VIM,Vimentin,79,9.72738,11.0967,8.14648,12.0455,10.4435,9.64455,9.96164,6.19529,6.23054,8.58622,7.92214,14219.5,16221.2,11908.6,17608.2,15266.4,14098.5,14562,9056.31,9107.84,12551.4,11580.6,
Q8NF91,SYNE1,Nesprin-1,79,10.4027,8.29951,8.58465,9.67268,8.79986,9.22129,10.5202,10.3886,7.92166,8.12376,8.0651,15138.5,12077.8,12492.8,14076.1,12806,13419.2,15309.4,15118,11528,11822.1,11736.7,
